trial,MOTA,box_threshold,text_threshold,track_thresh,match_thresh,track_buffer,lambda_weight,text_sim_weight
0,0.230171,0.684399,0.338565,0.415728,0.553144,300,0.279501,0.201365
1,0.0,0.351664,0.187076,0.193808,0.784058,150,0.012549,0.485874
2,0.0,0.565607,0.168584,0.73448,0.347867,250,0.432414,0.370119
3,0.2801,0.6544,0.514845,0.11725,0.540323,210,0.013835,0.120103
4,0.004078,0.838664,0.759682,0.325227,0.227819,100,0.33243,0.004134
5,0.182793,0.718425,0.809417,0.358968,0.656983,90,0.103854,0.105738
6,0.0,0.73773,0.755618,0.633246,0.793613,40,0.069161,0.394719
7,0.178064,0.720413,0.858738,0.343362,0.621049,250,0.437877,0.065313
8,0.000376,0.452306,0.286712,0.163989,0.374402,60,0.292118,0.29518
9,0.0,0.823459,0.571168,0.606185,0.501436,110,0.32958,0.49419
10,0.000749,0.121169,0.550371,0.823725,0.104056,200,0.161898,0.226312
11,0.397706,0.586367,0.350972,0.481777,0.542023,290,0.204836,0.172199
12,0.195977,0.517177,0.424536,0.484829,0.401643,300,0.191801,0.138276
13,0.439067,0.600767,0.459529,0.232735,0.691497,210,0.188394,0.132099
14,0.385966,0.338401,0.392309,0.254583,0.882904,250,0.192069,0.176178
15,0.003156,0.585635,0.608851,0.507454,0.686252,160,0.23887,0.287808
16,0.0,0.42913,0.267284,0.89205,0.730223,210,0.124093,0.034843
17,0.254487,0.133768,0.102962,0.558463,0.437216,270,0.231609,0.166527
18,0.290828,0.299254,0.384711,0.244417,0.579508,190,0.365463,0.252424
19,0.142769,0.577215,0.67538,0.687477,0.880501,130,0.140175,0.088055
20,0.0,0.625392,0.457708,0.410759,0.307877,230,0.068975,0.360484
21,0.345497,0.307439,0.349783,0.265325,0.891962,270,0.19197,0.177067
22,0.312912,0.211103,0.470042,0.258733,0.810988,270,0.169567,0.151503
23,0.455406,0.409333,0.257939,0.109675,0.72244,240,0.230786,0.245923
