trial,MOTA,box_threshold,text_threshold,track_thresh,match_thresh,track_buffer,lambda_weight,text_sim_weight
0,0.089364,0.842795,0.795194,0.103294,0.201913,80,0.261658,0.050556
1,0.204011,0.806868,0.483192,0.758682,0.564632,250,0.229817,0.077129
2,0.135906,0.885364,0.380021,0.629283,0.834304,180,0.46462,0.346061
3,0.02784,0.66241,0.424284,0.583469,0.137266,30,0.262708,0.39858
4,0.248385,0.760188,0.136242,0.728992,0.588603,270,0.308768,0.216008
5,0.044238,0.217673,0.62732,0.855827,0.508275,150,0.413755,0.213251
6,0.084232,0.732315,0.8316,0.827838,0.238752,90,0.477429,0.401851
7,0.015129,0.740051,0.739763,0.665155,0.113982,90,0.424608,0.349419
8,0.38213,0.592417,0.656021,0.580901,0.726199,180,0.474097,0.460122
9,0.195921,0.780955,0.607732,0.503657,0.310392,250,0.030732,0.459037
10,0.426551,0.476813,0.199363,0.31908,0.81256,190,0.107505,0.48294
11,0.42867,0.462029,0.081797,0.304884,0.853893,180,0.088405,0.499604
12,0.392325,0.370373,0.072533,0.282253,0.896672,210,0.064219,0.495034
13,0.423615,0.458477,0.220565,0.34757,0.730891,150,0.132238,0.319246
14,0.390986,0.29215,0.259433,0.30243,0.719991,300,0.127685,0.14195
15,0.422784,0.516423,0.251701,0.183144,0.811118,210,0.153011,0.283464
16,0.117711,0.083017,0.051677,0.412102,0.387562,130,0.008366,0.422575
17,0.418037,0.416675,0.177014,0.445289,0.665309,210,0.093152,0.494001
18,0.413884,0.545475,0.302021,0.229423,0.870754,130,0.197464,0.406963
19,0.278883,0.297838,0.338077,0.374576,0.411022,200,0.348475,0.28407
20,0.372126,0.63453,0.492855,0.144495,0.779456,240,0.185262,0.147512
21,0.405991,0.437878,0.177475,0.348791,0.641075,150,0.098949,0.339688
22,0.420784,0.509441,0.124906,0.25139,0.756817,120,0.057744,0.453899
23,0.425375,0.356535,0.251663,0.483331,0.675298,170,0.138753,0.316168
24,0.429592,0.35592,0.112841,0.464849,0.899977,180,0.169661,0.376242
25,0.422997,0.188644,0.053652,0.443315,0.891616,190,0.171402,0.494751
26,0.417185,0.353914,0.116739,0.542268,0.818277,230,0.09192,0.383957
27,0.365511,0.249489,0.156521,0.308243,0.833713,160,0.041488,0.43344
28,0.28633,0.14512,0.200178,0.197288,0.785295,110,0.221958,0.379112
29,0.42616,0.393267,0.313517,0.393916,0.898956,60,0.274333,0.451562
30,0.377895,0.573983,0.104069,0.487558,0.581419,230,0.00624,0.470073
31,0.412551,0.402967,0.315213,0.104438,0.897108,60,0.279312,0.441897
32,0.426315,0.484338,0.390446,0.398259,0.84707,30,0.218454,0.482635
33,0.425319,0.48267,0.535547,0.339414,0.844648,190,0.208519,0.499163
34,0.427377,0.306933,0.385391,0.423134,0.787311,40,0.242372,0.363209
35,0.3625,0.314207,0.396935,0.250871,0.769007,170,0.247155,0.367122
36,0.342978,0.152021,0.094992,0.437273,0.511024,280,0.32905,0.259013
37,0.407378,0.256918,0.463921,0.529019,0.642768,140,0.164611,0.413358
38,0.333926,0.667091,0.352533,0.649443,0.693111,110,0.104025,0.22167
39,0.116994,0.898853,0.219419,0.561779,0.806012,60,0.066426,0.049624
40,0.311657,0.328404,0.283645,0.716761,0.615093,180,0.24779,0.005366
41,0.427951,0.479197,0.396771,0.413712,0.855448,40,0.301183,0.475162
42,0.410797,0.556049,0.426161,0.466724,0.842648,30,0.342564,0.420071
43,0.394104,0.44432,0.520942,0.601009,0.751923,50,0.384443,0.362049
44,0.37406,0.63379,0.560041,0.316645,0.863478,90,0.31666,0.393357
45,0.407053,0.388954,0.446403,0.277612,0.79989,80,0.301675,0.471231
46,0.420406,0.505428,0.705138,0.370167,0.723358,40,0.116901,0.437036
47,0.422437,0.445923,0.161814,0.512275,0.864905,220,0.368639,0.335189
48,0.0,0.263528,0.086287,0.893312,0.187495,190,0.158088,0.470812
49,0.185596,0.845206,0.225908,0.417446,0.705265,200,0.295446,0.170837
50,0.38569,0.606787,0.358657,0.333985,0.749858,80,0.236879,0.302939
51,0.427631,0.472226,0.387502,0.386847,0.841247,40,0.221318,0.480197
52,0.428236,0.421938,0.863667,0.370305,0.801785,50,0.27001,0.476872
53,0.431315,0.335617,0.818752,0.451109,0.829983,50,0.264793,0.451943
54,0.429803,0.421877,0.884408,0.464571,0.875844,70,0.265758,0.45466
55,0.42692,0.424734,0.892218,0.479189,0.877356,70,0.267148,0.447463
56,0.431256,0.345187,0.811455,0.463896,0.865509,50,0.290062,0.432092
57,0.430337,0.335834,0.805195,0.456641,0.818762,50,0.188829,0.426663
58,0.32754,0.337345,0.794649,0.61947,0.417019,70,0.452608,0.402935
59,0.422024,0.219305,0.79039,0.550888,0.826671,100,0.201687,0.392217
60,0.427767,0.284156,0.760502,0.509974,0.878235,160,0.189741,0.418266
61,0.431777,0.372914,0.854739,0.460049,0.815482,50,0.284033,0.428242
62,0.431379,0.368033,0.836304,0.458871,0.82669,50,0.290541,0.430225
63,0.431177,0.382395,0.825527,0.458893,0.819519,70,0.259607,0.425333
64,0.430988,0.379991,0.826274,0.453668,0.767924,70,0.287438,0.421443
65,0.419261,0.377309,0.8338,0.517598,0.739259,50,0.291506,0.428399
66,0.431954,0.337992,0.832891,0.450064,0.764526,60,0.318347,0.406607
67,0.411642,0.227273,0.704609,0.58906,0.773014,90,0.329379,0.40564
68,0.425808,0.372362,0.841013,0.437184,0.703332,60,0.365123,0.346308
69,0.41092,0.290586,0.745827,0.557985,0.672327,30,0.286327,0.442977
70,0.183845,0.360038,0.862971,0.490319,0.288951,70,0.322941,0.401143
71,0.430102,0.328915,0.813409,0.459084,0.806303,50,0.257874,0.427252
72,0.431028,0.342677,0.778528,0.445898,0.820847,100,0.311622,0.456977
73,0.427933,0.276768,0.774057,0.432445,0.775245,70,0.313097,0.460248
74,0.423677,0.402797,0.703347,0.497932,0.7583,80,0.344644,0.461805
75,0.416949,0.315164,0.860282,0.538862,0.827648,90,0.2839,0.383713
76,0.426878,0.343119,0.734178,0.400785,0.743535,100,0.360187,0.436583
